id,role
Ka-Sat,Космические аппараты
Дискавери,Космические аппараты
GSAT-19,Космические аппараты
ASM-135 ASAT,Космические аппараты
GSAT-17,Космические аппараты
SwissCube,Космические аппараты
Jason-3,Космические аппараты
Dragonfly,Космические аппараты
Планк,Космические аппараты
Амос-6,Космические аппараты
МКС,Космические аппараты
OneWeb,Космические аппараты
Inmarsat-5 F4,Космические аппараты
GGS WIND,Космические аппараты
InSight,Аэрокосмические компании
Вега,Аэрокосмические компании
Аполлон,Космические программы
Артемида,Космические программы
United Launch Alliance,Аэрокосмические компании
Everts Air,Аэрокосмические компании
Mitsubishi A6M Zero,Аэрокосмические компании
Starlink,Аэрокосмические компании
Virgin Galactic,Аэрокосмические компании
United Airlines,Аэрокосмические компании
Lufthansa,Аэрокосмические компании
Qatar Airways,Аэрокосмические компании